
LEFT ARM / TOTAL (%) | Moy | Min | Max
Age 20 years and older, crude | 6.1 | 5.9 | 6.1
8–11 years | 5.4 | 4.9 | 5.7
12–15 years | 5.8 | 5.4 | 5.7
16–19 years | 6.0 | 5.9 | 6.0
20–39 years | 6.2 | 6.0 | 6.1
40–59 years | 6.1 | 5.8 | 6.2
60–79 years | 6.0 | 5.6 | 6.0
80 years and older | 5.6 | 5.3 | 5.7
