RIGHT ARM / TOTAL (%) | Moy | Min | Max
Age 20 years and older, crude | 6.4 | 6.2 | 6.4
8–11 years | 5.7 | 5.3 | 5.7
12–15 years | 6.1 | 6.2 | 6.1
16–19 years | 6.4 | 6.4 | 6.3
20–39 years | 6.5 | 6.9 | 6.4
40–59 years | 6.4 | 6.8 | 6.4
60–79 years | 6.2 | 6.5 | 6.3
80 years and older | 5.9 | 6.2 | 6.0
