Left arm percentage fat | Moy | Min | Max
Age 20 years and older, crude | 43.7 | 28.5 | 56.9
8–11 years | 34.9 | 20.9 | 50.6
12–15 years | 35.0 | 21.0 | 50.0
16–19 years | 37.7 | 24.9 | 51.8
20–39 years | 40.9 | 26.0 | 54.7
40–59 years | 44.3 | 29.9 | 57.3
60–79 years | 47.1 | 34.6 | 58.0
80 years and older | 45.2 | 29.2 | 57.6
