TRUNK / TOTAL (%) | Moy  | Min  | Max
Age 20 years and older, crude | 49.4 | 47.3 | 51.4
8–11 years | 42.7 | 41.8 | 44.4
12–15 years | 43.8 | 41.7 | 45.0
16–19 years | 45.8 | 44.7 | 47.7
20–39 years | 48.1 | 46.0 | 49.7
40–59 years | 50.0 | 47.7 | 52.0
60–79 years | 51.4 | 49.2 | 52.8
80 years and older | 51.2 | 49.6 | 52.1
